date,CAR_ersst,NTA_ersst,aao,ammsst,amon_sm,amon_sm_long,amon_us,amon_us_long,ao,atltri,brazilrain,censo,censo_long,ea,eofpac,epo,espi,gmsst,hurr,indiamon,ipotpi_hadisst2,jonesnao,meiv2,nao,nina1_anom,nina34_anom,nina3_anom,nina4_anom,noi,np,oni,pdo,pna,qbo,sahelrain,soi,solar,swmonsoon,tna,tni,trend,tsa,whwp,wp,precipitation
1949-04-01,,,,-1.22,0.116,0.116,0.093,0.093,,-0.014,5.0,0.15,0.15,,-0.139,,,-0.24,0.0,16.0,-0.15,3.41,,,,,,,-0.154,1013.55,,-0.53,,-10.69,14.0,,1825.0,0.89,-0.15,0.556,16.0,0.22,0.53,,8.9746
1949-05-01,,,,-1.88,0.114,0.114,-0.029,-0.029,,-0.518,181.0,0.43,0.42,,-0.308,,,-0.15,0.0,295.0,-0.1,-1.39,,,,,,,-1.666,1015.5,,-1.07,,-9.34,-48.0,,1549.0,0.83,-0.46,0.44,17.0,0.08,-0.66,,57.5473
1949-06-01,,,,-1.55,0.113,0.113,-0.004,-0.004,,-0.58,45.0,0.0,0.0,,-0.827,,,-0.21,0.0,1094.0,-0.15,-1.51,,,,,,,-1.579,1016.56,,-0.7,,-9.43,-46.0,,1575.0,1.57,-0.3,-0.13,18.0,0.05,-0.6,,3.2733
1949-07-01,,,,-0.19,0.109,0.109,0.066,0.066,,0.126,-79.0,-0.06,-0.07,,-0.931,,,-0.05,0.0,3198.0,-0.25,-0.93,,,,,,,-0.048,1018.76,,-0.56,,-9.07,51.0,,1599.0,2.49,-0.21,-0.232,19.0,0.16,-1.04,,0.8287
1949-08-01,,,,0.77,0.106,0.106,0.097,0.097,,0.612,102.0,0.08,0.07,,-0.497,,,-0.12,8.0,1696.0,-0.4,1.38,,,,,,,0.707,1017.02,,-1.3,,-9.08,263.0,,1752.0,1.35,-0.05,-0.457,20.0,0.21,-2.09,,5.0049
1949-09-01,,,,0.89,0.103,0.103,0.065,0.065,,0.495,138.0,-0.42,-0.42,,-1.017,,,-0.04,8.75,3067.0,-0.99,-1.81,,,,,,,-0.233,1013.08,,-0.93,,-8.32,-213.0,,1725.0,1.52,0.02,-0.498,21.0,0.23,-0.81,,3.7388
1949-10-01,,,,0.8,0.099,0.099,0.098,0.098,,0.202,-93.0,-0.59,-0.59,,-1.076,,,0.03,4.25,595.0,-1.13,1.38,,,,,,,3.522,1012.41,,-1.41,,-7.01,-75.0,,1782.0,0.79,0.12,-0.087,22.0,0.04,-1.77,,6.1449
1949-11-01,,,,0.16,0.096,0.096,0.102,0.102,,-0.597,210.0,-0.29,-0.29,,-1.398,,,-0.06,0.0,20.0,-1.12,0.54,,,,,,,-0.836,1008.08,,-0.83,,-6.43,24.0,,1804.0,0.25,-0.11,0.119,23.0,0.02,-1.03,,63.985
1949-12-01,,,,0.46,0.093,0.093,0.112,0.112,,-0.363,-88.0,-0.91,-0.91,,-1.08,,,-0.1,0.0,0.0,-1.03,0.11,,,,,,,4.214,1010.48,,-0.8,,-7.24,48.0,,1652.0,0.9,0.06,0.283,24.0,-0.16,-0.32,,54.7504
1950-01-01,,,,0.53,0.091,0.091,0.105,0.105,-0.06,-0.571,-30.0,-0.74,-0.75,2.29,-1.053,0.91,,-0.22,0.0,17.0,-1.12,0.55,,0.56,-1.55,-1.99,-2.1,-1.38,2.644,1014.87,-1.53,-2.13,-3.65,-8.99,4.0,,1507.0,0.58,-0.14,0.624,25.0,0.08,-0.17,-1.69,234.9162
1950-02-01,-0.27,-0.49,,-1.07,0.089,0.089,-0.039,-0.039,0.627,-1.106,-38.0,-1.7,-1.71,-0.57,-2.044,-1.13,,-0.26,0.0,50.0,-1.38,3.31,,0.01,-1.78,-1.69,-1.52,-1.53,2.077,1010.4,-1.34,-2.91,-1.69,-11.37,3.0,,1433.0,0.73,-0.36,0.445,26.0,0.15,-0.3,-1.36,125.7046
1950-03-01,-0.36,-0.49,,-1.26,0.087,0.087,-0.111,-0.111,-0.008,-0.62,82.0,-1.43,-1.43,-1.8,-1.034,-0.02,,-0.02,0.0,85.0,-1.09,0.82,,-0.78,-1.38,-1.42,-0.84,-1.8,3.091,1008.13,-1.16,-1.13,-0.06,-10.63,-19.0,,1378.0,0.39,-0.37,0.382,27.0,0.12,-0.96,-0.38,116.1445
1950-04-01,-0.38,-0.46,,0.72,0.085,0.085,-0.136,-0.136,0.555,-0.23,81.0,-1.29,-1.3,-2.5,-1.597,-1.87,,-0.21,0.0,15.0,-1.1,1.61,,0.65,-1.9,-1.54,-1.14,-1.73,1.923,1015.49,-1.18,-1.2,-0.23,-8.19,-33.0,,1643.0,0.23,-0.11,0.311,28.0,-0.17,-1.93,-0.5,58.7856
1950-05-01,-0.41,-0.35,,1.05,0.083,0.083,-0.064,-0.064,0.072,-0.279,-26.0,-1.22,-1.24,1.41,-1.669,-0.98,,-0.21,0.0,85.0,-1.28,-1.73,,-0.5,-1.74,-1.75,-1.57,-1.18,2.211,1015.47,-1.07,-2.23,-0.4,-6.09,-18.0,,1571.0,0.13,-0.25,0.124,29.0,-0.34,-2.27,0.23,36.2573
1950-06-01,-0.43,-0.42,,0.28,0.082,0.082,-0.048,-0.048,0.539,-0.219,-106.0,-1.69,-1.69,1.27,-1.466,-0.47,,-0.09,0.0,584.0,-1.01,1.26,,0.25,-1.79,-1.27,-1.11,-0.84,1.014,1015.51,-0.85,-1.77,-1.99,-6.61,-46.0,,1287.0,0.8,-0.13,0.213,30.0,-0.23,-2.23,1.31,17.4126
1950-07-01,-0.46,-0.41,,0.21,0.083,0.083,-0.061,-0.061,-0.802,-0.873,-74.0,-1.69,-1.7,3.01,-1.093,1.38,,-0.05,0.0,3985.0,-1.58,-0.87,,-1.23,-1.65,-1.01,-0.9,-1.26,-0.336,1016.23,-0.54,-2.93,-0.82,-7.11,276.0,,1341.0,3.14,-0.18,0.293,31.0,-0.16,-2.12,1.8,0.5856
1950-08-01,-0.45,-0.47,,1.21,0.083,0.083,0.015,0.015,-0.851,-0.631,-34.0,-0.96,-0.97,0.52,-0.967,1.87,,-0.32,16.0,1506.0,-1.28,-0.28,,-0.19,-0.88,-0.97,-0.65,-1.25,-0.236,1012.76,-0.42,-0.7,0.79,-6.51,1045.0,,1209.0,0.91,-0.16,0.316,32.0,-0.34,-2.62,1.08,2.4364
1950-09-01,-0.38,-0.5,,1.26,0.084,0.084,0.004,0.004,0.358,-0.637,-18.0,-0.95,-0.95,-0.32,-1.018,0.98,,-0.13,24.25,2418.0,-1.33,1.51,,0.39,-1.17,-0.98,-0.89,-1.49,0.17,1012.62,-0.39,-2.14,-1.0,-3.82,509.0,,986.0,1.26,-0.06,0.564,33.0,-0.51,-0.52,1.36,17.6535
1950-10-01,-0.34,-0.45,,1.27,0.086,0.086,-0.096,-0.096,-0.379,-0.35,-45.0,-1.27,-1.27,0.04,-0.614,-0.88,,-0.2,12.75,196.0,-1.31,0.78,,1.43,-1.02,-1.03,-0.81,-1.63,-2.54,1010.76,-0.44,-1.36,0.7,-2.39,170.0,,999.0,0.1,-0.18,0.69,34.0,-0.54,-2.14,1.45,153.6081
1950-11-01,-0.35,-0.29,,1.87,0.088,0.088,0.074,0.074,-0.515,-0.167,-18.0,-1.12,-1.12,-1.72,-1.177,-0.39,,-0.33,0.0,4.0,-1.26,0.78,,-1.46,-1.8,-1.23,-1.24,-1.7,0.483,1016.37,-0.6,-2.46,-1.74,-2.18,2.0,,1019.0,0.16,-0.09,0.993,35.0,-0.46,-0.82,-0.37,196.1526
1950-12-01,-0.4,-0.09,,3.03,0.089,0.089,0.083,0.083,-1.928,0.451,-63.0,-1.61,-1.61,-2.31,-0.904,,,-0.2,0.0,83.0,-0.89,-1.88,,-1.03,-1.09,-1.31,-1.08,-1.4,-1.545,1007.97,-0.8,-0.76,-0.28,-3.31,-2.0,,1011.0,0.08,0.18,1.239,36.0,-0.92,-0.32,0.07,201.9834
1951-01-01,-0.46,-0.08,,2.14,0.089,0.089,0.097,0.097,-0.085,0.306,-105.0,-1.13,-1.14,-0.74,-0.673,-0.81,,-0.44,0.0,34.0,-0.91,0.82,,-0.42,-0.46,-1.3,-0.87,-1.1,2.702,1008.32,-0.82,-1.54,-1.18,-6.01,2.0,2.5,1079.0,1.22,0.06,1.315,37.0,-0.98,-0.17,-0.07,170.0752
1951-02-01,-0.49,-0.12,,0.94,0.087,0.087,-0.007,-0.007,-0.4,-0.438,-94.0,-0.69,-0.7,-1.66,-0.534,-1.32,,-0.49,0.0,12.0,-0.8,0.93,,0.35,-0.91,-1.04,-0.76,-1.11,1.878,1011.16,-0.54,-1.06,-2.11,-5.32,2.0,1.5,1019.0,0.5,-0.17,1.461,38.0,-0.7,-0.3,-0.58,111.5515
1951-03-01,-0.5,-0.08,,2.29,0.086,0.086,0.007,0.007,-1.934,0.298,-203.0,-0.24,-0.23,0.11,-0.891,0.2,,-0.19,0.0,108.0,-0.89,-2.01,,-1.47,-0.75,-0.38,-0.33,-0.58,3.103,1015.69,-0.17,-1.9,-1.09,-1.93,37.0,-0.2,1025.0,0.53,-0.07,1.59,39.0,-0.87,-0.93,-0.29,49.3925
1951-04-01,-0.42,0.03,,3.63,0.085,0.085,0.163,0.163,-0.776,1.184,-42.0,0.33,0.32,-2.31,-0.108,0.02,,-0.09,0.0,68.0,-0.43,-0.45,,-0.38,-0.25,-0.23,-0.21,-0.42,-3.88,1011.91,0.18,-0.36,0.47,0.91,-23.0,-0.5,1271.0,1.31,0.17,1.457,40.0,-0.51,-0.7,-0.19,49.3122
1951-05-01,-0.28,0.08,,3.7,0.084,0.084,0.167,0.167,-0.863,0.775,-121.0,0.71,0.7,0.93,0.183,-0.04,,0.0,6.5,93.0,0.02,-2.11,,-0.5,0.17,-0.01,-0.18,0.26,-2.213,1012.74,0.36,-0.25,1.19,2.26,119.0,-1.1,1686.0,0.79,0.14,1.615,41.0,-0.37,-0.93,0.7,56.8626
1951-06-01,-0.11,0.03,,3.85,0.081,0.081,0.284,0.284,-0.918,1.146,85.0,0.19,0.19,1.91,0.589,-0.62,,-0.17,0.0,1218.0,0.11,-1.16,,-1.35,1.49,0.0,0.04,0.08,-0.903,1014.2,0.58,-1.09,-0.54,-0.3,-40.0,0.3,1617.0,0.18,0.17,1.627,42.0,-0.26,-0.56,0.1,1.7826
1951-07-01,0.02,-0.05,,2.87,0.082,0.082,0.416,0.416,0.09,1.918,-74.0,1.33,1.32,-0.86,1.192,0.98,,-0.16,0.0,2536.0,0.81,1.1,,1.39,1.86,0.3,0.62,0.23,-0.336,1017.91,0.7,0.7,-0.44,-2.7,-29.0,-1.7,1163.0,1.6,0.41,1.521,43.0,-0.11,-0.07,0.88,0.0207
1951-08-01,0.06,-0.12,,0.98,0.082,0.082,0.298,0.298,-0.377,0.826,-80.0,1.01,1.0,-3.26,1.115,0.41,,0.05,7.0,1880.0,0.33,0.85,,-0.41,1.17,0.17,0.41,-0.26,-0.872,1016.23,0.89,-1.37,0.02,-5.31,237.0,-0.4,1098.0,3.8,0.2,1.493,44.0,0.05,2.23,0.73,5.0254
1951-09-01,0.08,-0.22,,-0.04,0.083,0.083,0.244,0.244,-0.818,0.148,-101.0,1.1,1.1,-0.26,0.67,1.42,,-0.04,15.5,746.0,0.4,-0.22,,-1.18,0.56,0.51,0.46,-0.12,-1.36,1012.42,0.99,-0.08,-0.08,-5.92,474.0,-1.8,1178.0,0.36,0.15,1.255,45.0,0.05,1.5,-3.45,2.0262
1951-10-01,0.05,-0.27,,-0.97,0.083,0.083,0.253,0.253,-0.213,0.231,-98.0,1.15,1.14,0.59,0.995,-0.11,,0.03,4.25,627.0,0.73,-0.13,,2.54,0.72,0.49,0.6,-0.22,0.21,1011.47,1.15,-0.32,0.43,-4.59,720.0,-1.6,1060.0,1.09,0.09,0.799,46.0,0.03,1.55,-0.47,91.9665
1951-11-01,0.09,-0.35,,-1.19,0.082,0.082,0.169,0.169,-0.069,-0.009,109.0,0.91,0.91,0.48,0.958,0.62,,0.0,0.0,120.0,0.78,-0.97,,-0.54,0.68,0.55,0.8,-0.04,-1.165,1009.47,1.04,-0.28,0.21,-3.65,83.0,-1.3,1044.0,0.86,-0.03,0.492,47.0,-0.08,1.09,0.62,153.103
1951-12-01,0.15,-0.41,,-2.02,0.083,0.083,0.169,0.169,1.987,0.05,88.0,0.83,0.83,0.04,0.616,,,0.15,1.0,0.0,0.69,2.54,,1.13,0.02,0.31,0.61,0.04,-0.464,1013.85,0.81,-1.68,-1.59,-3.98,-3.0,-1.2,1024.0,1.52,-0.07,0.294,48.0,0.0,0.01,0.2,279.7197
1952-01-01,0.19,-0.42,,-2.89,0.082,0.082,0.166,0.166,0.368,-0.373,-60.0,0.64,0.63,-1.07,0.357,1.59,,0.07,0.0,4.0,0.4,0.92,,0.57,-0.21,0.13,0.14,-0.04,-1.444,1010.38,0.53,-2.01,-3.19,-6.8,-4.0,-1.5,954.0,1.44,-0.41,0.168,49.0,0.06,-0.07,1.43,279.7602
1952-02-01,0.18,-0.35,,-1.44,0.083,0.083,0.177,0.177,-1.747,0.258,-54.0,0.56,0.56,-1.46,0.562,-1.09,,0.1,0.0,78.0,0.12,0.15,,-1.38,-0.08,-0.01,-0.04,-0.16,2.156,1007.72,0.37,-0.46,0.08,-7.71,-6.0,-1.0,862.0,0.45,-0.15,-0.293,50.0,-0.01,-0.26,0.88,135.3461
1952-03-01,0.16,-0.24,,0.92,0.084,0.084,0.225,0.225,-1.859,0.778,111.0,0.07,0.07,0.16,0.113,-2.13,,-0.15,0.0,17.0,0.04,-1.14,,-1.97,-0.41,-0.11,-0.15,-0.34,1.74,1014.06,0.34,-0.63,-0.69,-6.99,-13.0,0.9,785.0,1.68,-0.02,-0.368,51.0,-0.08,-0.31,0.06,147.097
1952-04-01,0.19,-0.2,,1.13,0.084,0.084,0.185,0.185,0.539,0.3,20.0,0.71,0.7,0.12,0.394,-2.44,,-0.05,0.0,48.0,0.11,2.79,,0.95,-1.1,-0.02,-0.31,-0.16,-1.652,1013.69,0.29,-1.05,0.89,-5.68,-35.0,-0.4,840.0,1.66,0.04,-0.374,52.0,-0.08,0.35,0.28,35.5575
1952-05-01,0.18,-0.12,,2.09,0.084,0.084,0.175,0.175,-0.774,0.784,-46.0,-0.5,-0.51,0.24,-0.125,0.06,,-0.12,0.0,86.0,-0.27,-0.94,,-0.99,-0.93,-0.14,-0.61,-0.25,0.535,1015.81,0.2,-1.0,-0.79,-4.76,81.0,1.2,809.0,0.5,0.13,-0.567,53.0,-0.19,0.24,0.93,29.6653
1952-06-01,0.16,-0.11,,3.27,0.085,0.085,0.377,0.377,-0.441,1.679,-96.0,-0.74,-0.75,-0.4,-0.507,-0.25,,-0.08,0.0,1691.0,-0.7,0.02,,-0.1,-1.2,-0.54,-0.92,-0.47,0.015,1014.48,0.0,-1.43,0.53,-6.0,-23.0,1.2,848.0,0.7,0.28,-0.718,54.0,0.07,0.85,1.08,40.971
1952-07-01,0.12,-0.15,,2.36,0.087,0.087,0.366,0.366,0.383,1.592,-84.0,-0.54,-0.54,-1.26,-0.681,1.3,,0.08,0.0,3401.0,-0.6,-0.79,,-0.06,-1.23,-0.76,-0.99,-0.77,-0.538,1018.43,-0.08,-1.25,-1.57,-7.6,273.0,0.8,888.0,1.88,0.17,-0.702,55.0,-0.07,-0.16,-1.02,12.0392
1952-08-01,0.11,-0.21,,2.04,0.089,0.089,0.398,0.398,-0.03,1.618,-37.0,-0.12,-0.13,-0.95,-0.241,1.35,,0.12,1.75,1958.0,-0.46,-1.05,,-0.49,-1.11,-0.56,-0.68,-0.79,1.034,1016.99,0.0,-0.6,0.77,-8.15,355.0,0.1,933.0,2.1,0.16,-0.703,56.0,-0.01,2.42,-1.43,0.7515
1952-09-01,0.08,-0.22,,2.24,0.092,0.092,0.356,0.356,-0.383,1.366,-87.0,-0.03,-0.03,-1.68,-0.321,0.35,,0.12,8.75,572.0,-0.49,-3.02,,-0.38,-1.36,-0.36,-0.64,-0.37,0.375,1014.38,0.15,-0.89,0.4,-5.73,904.0,-0.4,815.0,1.0,0.37,-0.704,57.0,-0.04,2.44,-1.94,12.835
1952-10-01,0.06,-0.12,,2.08,0.094,0.094,0.348,0.348,-0.437,1.126,-8.0,-0.06,-0.07,-0.42,-0.058,1.1,,-0.04,5.0,242.0,-0.52,0.42,,-0.28,-0.65,-0.46,-0.62,-0.7,0.623,1012.42,0.1,-0.35,1.05,-2.96,104.0,0.6,828.0,0.0,0.26,-0.449,58.0,-0.08,1.73,1.39,6.9763
1952-11-01,-0.02,0.0,,2.25,0.095,0.095,0.244,0.244,-1.891,0.999,-59.0,-0.02,-0.03,-1.55,-0.418,-0.62,,-0.2,0.0,0.0,-0.51,-1.51,,-1.32,-0.82,-0.78,-1.03,-0.54,1.179,1008.9,0.04,-0.76,0.77,-0.51,0.0,0.0,834.0,1.83,0.28,-0.566,59.0,0.0,1.05,0.61,70.4533
1952-12-01,-0.12,0.17,,3.63,0.095,0.095,0.334,0.334,-1.827,1.744,-30.0,0.41,0.41,-0.26,-0.368,,,-0.05,0.0,35.0,-0.18,-0.31,,-0.49,-0.5,-0.39,-0.56,-0.69,-2.297,1003.78,0.15,0.04,0.63,-1.65,2.0,-2.0,857.0,0.82,0.55,-0.167,60.0,-0.14,-0.05,0.71,310.8277
1953-01-01,-0.15,0.23,,3.16,0.096,0.096,0.259,0.259,-1.036,1.747,-80.0,0.18,0.17,0.84,0.274,0.24,,0.06,0.0,150.0,0.37,-0.02,,-0.12,-0.44,0.2,0.06,-0.34,1.742,1002.53,0.4,-0.57,0.18,-2.94,-2.0,0.5,832.0,0.28,0.46,-0.027,61.0,-0.15,-0.17,-1.24,209.2828
1953-02-01,-0.08,0.01,,2.8,0.097,0.097,0.179,0.179,-0.249,1.423,-73.0,0.51,0.5,-0.25,0.476,-1.51,,0.05,0.0,6.0,0.21,0.54,,-1.0,0.17,0.24,0.22,-0.22,7.614,1008.16,0.6,-0.07,1.04,-2.68,12.0,-0.8,728.0,0.62,0.41,0.15,62.0,-0.25,-0.12,1.38,12.7139
1953-03-01,0.02,-0.11,,1.32,0.1,0.1,0.135,0.135,1.068,0.701,-119.0,0.5,0.5,1.73,0.539,-2.29,,0.14,0.0,0.0,0.3,1.25,,-0.45,0.74,0.29,0.31,-0.29,2.595,1014.61,0.63,-1.12,-0.44,-1.22,29.0,-0.3,704.0,0.82,-0.04,0.325,63.0,0.01,0.57,0.58,101.0221
1953-04-01,0.11,-0.17,,2.12,0.103,0.103,0.307,0.307,-1.256,1.294,13.0,0.81,0.81,-1.66,1.331,-0.07,,0.14,0.0,106.0,0.33,-1.6,,-1.96,1.47,0.22,0.13,-0.14,-0.952,1010.4,0.66,0.05,0.78,1.3,-33.0,0.3,810.0,0.55,0.18,0.55,64.0,-0.29,1.58,-1.86,100.8812
1953-05-01,0.1,-0.03,,2.34,0.105,0.105,0.336,0.336,-0.562,1.105,-96.0,1.78,1.77,0.09,0.621,-0.63,,0.03,0.0,12.0,0.32,-0.75,,-0.56,1.01,0.35,0.12,0.01,-0.631,1013.4,0.75,0.43,1.14,2.69,278.0,-2.8,725.0,0.54,0.11,0.428,65.0,-0.14,0.09,-0.51,76.876
1953-06-01,0.06,-0.03,,1.45,0.107,0.107,0.269,0.269,0.023,0.99,-31.0,0.62,0.61,-0.71,0.655,3.88,,0.01,0.0,1408.0,0.41,-2.96,,1.41,0.31,0.39,0.26,0.18,1.682,1017.13,0.77,0.29,-1.6,1.86,289.0,0.2,730.0,0.36,0.13,0.532,66.0,-0.1,0.48,-0.57,33.2783
1953-07-01,0.01,-0.03,,1.45,0.108,0.108,0.337,0.337,0.333,0.519,-95.0,0.36,0.36,-0.71,0.701,0.99,,-0.07,0.0,2822.0,0.37,0.13,,0.43,-0.0,0.14,-0.07,-0.05,0.185,1018.2,0.75,0.74,0.27,0.1,451.0,-0.0,698.0,2.81,0.18,0.409,67.0,-0.07,0.25,-1.1,0.894
1953-08-01,0.01,-0.08,,1.52,0.109,0.109,0.252,0.252,0.085,0.049,-31.0,0.9,0.9,-1.41,0.422,-0.54,,0.1,2.75,3087.0,0.37,3.26,,-1.04,0.17,0.09,-0.06,-0.22,0.197,1016.7,0.73,0.05,-1.15,-1.21,188.0,-2.0,755.0,1.64,0.24,0.196,68.0,-0.06,1.56,1.04,11.7729
1953-09-01,-0.0,-0.1,,1.52,0.111,0.111,0.274,0.274,0.662,0.452,-20.0,1.19,1.19,0.58,0.882,0.12,,0.09,13.75,1290.0,0.41,0.75,,-0.19,0.33,0.29,0.28,-0.46,-0.722,1015.67,0.78,-0.63,-0.14,-1.28,214.0,-2.1,743.0,0.07,0.2,0.12,69.0,0.04,1.3,-0.86,1.0001
1953-10-01,0.01,-0.09,,0.35,0.113,0.113,0.142,0.142,-0.194,0.243,-33.0,0.16,0.16,0.0,0.162,-0.52,,0.07,2.5,402.0,0.13,0.77,,1.95,-0.18,0.16,0.12,-0.1,1.669,1010.53,0.84,-1.09,2.27,-0.39,88.0,0.1,719.0,0.72,0.16,0.128,70.0,0.03,0.47,0.36,35.3441
1953-11-01,0.05,-0.06,,0.69,0.114,0.114,0.238,0.238,0.354,0.697,-63.0,0.37,0.36,0.16,0.349,-2.15,,0.04,0.0,0.0,-0.12,3.25,,0.96,-0.14,0.18,0.04,-0.11,-0.853,1005.94,0.84,-0.03,1.57,-0.59,21.0,-0.5,714.0,0.75,0.16,-0.426,71.0,-0.18,1.21,-0.44,123.8429
1953-12-01,0.09,-0.05,,0.82,0.115,0.115,0.252,0.252,0.575,0.44,-75.0,0.41,0.41,0.73,-0.111,,,0.18,0.0,1.0,-0.01,0.15,,-0.52,-0.59,0.41,0.2,0.03,6.026,1008.12,0.81,0.07,0.96,-2.18,27.0,-0.8,708.0,0.46,0.17,-0.537,72.0,-0.41,-0.1,0.84,41.5006
1954-01-01,0.13,-0.17,,0.97,0.115,0.115,0.221,0.221,-0.148,0.685,-63.0,0.0,0.0,0.52,0.092,0.6,,-0.26,0.0,55.0,-0.09,0.1,,-0.08,-1.91,0.43,-0.16,0.04,0.5,1010.84,0.76,-1.32,-2.11,-5.05,-5.0,1.1,687.0,1.01,0.1,-0.655,73.0,-0.43,-0.13,-0.26,203.7425
1954-02-01,0.14,-0.33,,0.82,0.115,0.115,0.089,0.089,-0.181,0.293,-7.0,0.4,0.39,0.03,-0.173,-1.75,,-0.05,0.0,85.0,-0.21,0.57,,0.4,-1.22,0.28,-0.13,-0.02,1.101,1007.36,0.47,-1.61,-0.48,-6.88,49.0,-0.5,692.0,0.38,-0.12,-1.25,74.0,-0.5,-0.29,-0.67,129.8573
